,UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity,UUID,Label
8373,2023-11-16T14:45:53.701062Z,212.9958017,8.027269937,1037.787062,38.88849396,-86.85384549,376.0,19.80313683,-14.39760303,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8374,2023-11-16T14:45:53.905623Z,213.0850886,7.993901546,1034.903198,38.88852275,-86.85384353,375.0,19.52212334,-14.68063164,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8375,2023-11-16T14:45:54.109463Z,213.2015765,8.014372895,1032.280026,38.88855297,-86.85384692,375.0,19.50541496,-14.95098019,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8376,2023-11-16T14:45:54.313689Z,213.3004407,7.979903268,1029.509793,38.88858169,-86.85384712,374.0,19.51449013,-15.16330814,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8377,2023-11-16T14:45:54.517797Z,213.3804146,8.002260309,1026.655474,38.88861041,-86.85384254,374.0,19.53587341,-15.42030144,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8378,2023-11-16T14:45:54.785610Z,213.4471197,8.087799092,1022.980493,38.88864524,-86.85382946,375.0,19.73319054,-15.90633774,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8379,2023-11-16T14:45:54.989518Z,213.5142288,8.111640823,1019.997156,38.88867377,-86.85382169,375.0,19.710289,-15.96633434,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8380,2023-11-16T14:45:55.196287Z,213.5548711,8.079388162,1016.929901,38.88869952,-86.85380974,374.0,19.80175591,-16.14474297,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8381,2023-11-16T14:45:55.397981Z,213.5728294,8.103952901,1013.871257,38.88872428,-86.85379308,374.0,19.85813713,-16.37259483,010f64fe-f3b9-44dd-9534-30ae3d07af6d,1
8382,2023-11-16T14:45:55.602595Z,213.5887298,8.072988627,1010.616776,38.88874926,-86.85377571,373.0,19.81055641,-16.51023483,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8383,2023-11-16T14:45:55.870215Z,213.5223952,8.049967995,1006.351208,38.88877479,-86.85373806,372.0,19.366642,-16.812397,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8384,2023-11-16T14:45:56.074116Z,213.5190166,7.963181221,1002.814065,38.8887992,-86.85371656,370.0,19.26623344,-16.90406418,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8385,2023-11-16T14:45:56.342178Z,213.4132586,7.996001514,998.7288895,38.88882112,-86.85367276,370.0,19.0124321,-17.05622673,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8386,2023-11-16T14:45:56.610094Z,213.3076177,7.975005788,994.1382605,38.88884593,-86.85362675,369.0,18.57525253,-17.29031181,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8387,2023-11-16T14:45:56.814121Z,213.2758068,7.945638281,990.5585352,38.88886939,-86.85359952,368.0,18.37283134,-17.35804558,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8388,2023-11-16T14:45:57.018345Z,213.3035233,7.975502775,986.877255,38.88889972,-86.85358057,368.0,18.25609779,-17.59377861,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8389,2023-11-16T14:45:57.285870Z,213.2605492,7.960128254,981.5555621,38.88893552,-86.85354043,367.0,17.77826309,-17.70956612,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8390,2023-11-16T14:45:57.510530Z,213.2379229,7.991764609,977.6991655,38.88896296,-86.85351213,367.0,17.88842392,-17.86855698,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8391,2023-11-16T14:45:57.694423Z,213.2625661,8.080613412,974.1373015,38.88899318,-86.85349252,368.0,17.9736042,-17.90679359,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8392,2023-11-16T14:45:57.898939Z,213.2010702,8.114048208,970.1540934,38.8890184,-86.85345715,368.0,18.2400341,-17.98241806,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8393,2023-11-16T14:45:58.178927Z,213.040559,8.102442256,964.4450642,38.88904762,-86.85339584,367.0,19.117342,-18.17294502,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8394,2023-11-16T14:45:58.377863Z,212.9189419,8.078800754,960.1371257,38.88906951,-86.85334988,366.0,19.81709099,-18.152565,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8395,2023-11-16T14:45:58.576468Z,212.8896663,8.111625954,956.2815568,38.8890966,-86.85332081,366.0,19.81709099,-18.13906097,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8396,2023-11-16T14:45:58.781188Z,212.8263581,8.332200475,951.8450427,38.8891287,-86.85327997,369.0,21.72130966,-18.2607193,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8397,2023-11-16T14:45:58.982944Z,212.8002558,8.307716207,947.7135752,38.88915711,-86.85325066,368.0,21.69379234,-18.22860527,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8398,2023-11-16T14:45:59.187786Z,212.7545995,8.343520118,943.6792951,38.88918436,-86.85321799,368.0,21.81725502,-18.36202049,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8399,2023-11-16T14:45:59.391467Z,212.7193725,8.379653417,939.6429376,38.88921248,-86.85318701,368.0,21.81725502,-18.3318882,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8400,2023-11-16T14:45:59.596161Z,212.6997071,8.473685074,936.0805944,38.88923935,-86.85316058,369.0,21.12924767,-18.04402542,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8401,2023-11-16T14:45:59.799962Z,212.6658271,8.509898884,932.1300324,38.88926698,-86.85313042,369.0,21.12924767,-18.01758575,3c0db304-1e37-43bf-9f1b-a7e05d253cb9,1
8402,2023-11-16T14:46:00.004607Z,212.6006241,8.538992908,928.9804595,38.88928605,-86.85310046,369.0,19.7506752,-17.42278862,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8403,2023-11-16T14:46:00.208167Z,212.6481421,8.564313085,926.2569847,38.88931064,-86.85309074,369.0,18.27634811,-17.18052483,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8404,2023-11-16T14:46:00.412596Z,212.6220874,8.529502726,923.269496,38.88933039,-86.85306886,368.0,17.46907806,-16.97628021,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8405,2023-11-16T14:46:00.616786Z,212.6112304,8.557595751,920.2638628,38.88935262,-86.8530483,368.0,17.03165627,-16.81056404,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8406,2023-11-16T14:46:00.821541Z,212.5325071,8.52227084,917.3046822,38.88936814,-86.85301854,367.0,16.77173042,-16.60622978,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8407,2023-11-16T14:46:01.024783Z,212.6054994,8.549079606,914.4521713,38.88939563,-86.85301186,367.0,16.6585865,-16.4979763,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8408,2023-11-16T14:46:01.229134Z,212.6435158,8.516759431,911.1474282,38.88942275,-86.85299784,366.0,16.53684044,-16.33694458,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8409,2023-11-16T14:46:01.433454Z,212.6991618,8.547833945,907.8626716,38.88945218,-86.85298565,366.0,16.44111824,-16.24245644,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8410,2023-11-16T14:46:01.637942Z,212.7315972,8.51744565,904.3291721,38.8894806,-86.85296925,365.0,16.29919243,-16.15851021,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8411,2023-11-16T14:46:01.841905Z,212.8587261,8.546271343,901.3044302,38.88951342,-86.85296935,365.0,16.13059998,-15.91731739,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8412,2023-11-16T14:46:02.046231Z,212.995468,8.642562114,897.9955758,38.88955026,-86.85296798,366.0,15.97607231,-15.79178238,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8413,2023-11-16T14:46:02.250131Z,213.1411426,8.610482254,894.6396131,38.88958581,-86.85296935,365.0,15.99531078,-15.6774826,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8414,2023-11-16T14:46:02.454361Z,213.3631646,8.644794572,891.1188956,38.88962953,-86.85297982,365.0,16.16278267,-15.50523376,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8415,2023-11-16T14:46:02.669457Z,213.4926769,8.614350153,887.5712229,38.88966523,-86.85297712,364.0,16.36608124,-15.47941589,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8416,2023-11-16T14:46:02.862888Z,213.6658257,8.646196865,884.329802,38.88970302,-86.85298165,364.0,16.63056564,-15.31319523,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8417,2023-11-16T14:46:03.066952Z,213.7999474,8.613382657,880.9991595,38.88973733,-86.85298064,363.0,16.85657692,-15.31111717,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8418,2023-11-16T14:46:03.271159Z,213.9831205,8.709381513,877.9690649,38.88977535,-86.85298656,364.0,17.20393562,-15.12672997,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8419,2023-11-16T14:46:03.475416Z,214.0824614,8.740804875,874.839978,38.88980655,-86.85298048,364.0,17.20393562,-15.11104298,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8420,2023-11-16T14:46:03.679513Z,214.2643485,8.840340285,871.577005,38.88984617,-86.85298423,365.0,17.84576607,-15.0629015,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8421,2023-11-16T14:46:03.994801Z,214.4371163,8.883484316,867.3815274,38.88989092,-86.85298127,365.0,18.07223129,-14.86045551,14ee4f53-2168-4f79-82ef-52c2f8f3d22a,1
8422,2023-11-16T14:46:04.184354Z,214.540338,8.985368111,864.0316282,38.88992512,-86.85297275,366.0,18.5897789,-14.78461361,200549d5-d6db-45e9-bf53-228a88d50647,1
